AWG,Cross Sectional Area (mm^2),Type,Cost (ft),Weight (lb per foot),Sold by (ft),Total Price,Link,,,
40,0.00501,Solid Enameled,0.001075385,3.01E-05,8304,8.93,http://www.remingtonindustries.com/magnet-wire/magnet-wire-40-awg-4-oz-8304-length/,,,
39,0.00632,Solid Enameled,0.001355334,3.84E-05,6515,8.83,http://www.remingtonindustries.com/magnet-wire/magnet-wire-39-awg-4-oz-6515-length/,,,
38,0.00797,Solid Enameled,0.001730152,5.01E-05,4988,8.63,http://www.remingtonindustries.com/magnet-wire/magnet-wire-38-awg-4-oz-4988-length/,,,
37,0.01,Solid Enameled,0.002212658,6.33E-05,3950,8.74,http://www.remingtonindustries.com/magnet-wire/magnet-wire-37-awg-4-oz-3950-length/,,,
36,0.0127,Solid Enameled,0.002973984,7.83E-05,6150,18.29,http://www.mcmaster.com/#magnet-wire/=135z5j2,,,http://www.remingtonindustries.com/magnet-wire/magnet-wire-36-awg-4-oz-3193-length/
35,0.016,Solid Enameled,0.003305915,9.79E-05,2553,8.44,http://www.remingtonindustries.com/magnet-wire/magnet-wire-35-awg-4-oz-2553-length/,,,
34,0.0201,Solid Enameled,0.004469231,0.00012364,3900,17.43,http://www.mcmaster.com/#magnet-wire/=135z5j3,,,http://www.remingtonindustries.com/magnet-wire/magnet-wire-34-awg-4-oz-2022-length/
33,0.0254,Solid Enameled,0.005188917,0.000157431,1588,8.24,http://www.remingtonindustries.com/magnet-wire/magnet-wire-33-awg-4-oz-1588-length/,,,
32,0.032,Solid Enameled,0.007528736,0.00019984,4350,32.75,http://www.mcmaster.com/#magnet-wire/=135z5j4,,,http://www.remingtonindustries.com/magnet-wire/magnet-wire-32-awg-4-oz-1251-length/
31,0.0404,Solid Enameled,0.007327416,0.000246548,1014,7.43,http://www.remingtonindustries.com/magnet-wire/magnet-wire-31-awg-4-oz-1014-length/,,,
30,0.0509,Solid Enameled,0.01028,0.000319285,3000,30.84,http://www.mcmaster.com/#magnet-wire/=135z5j5,,,http://www.remingtonindustries.com/magnet-wire/magnet-wire-200c-30-awg-4-oz-783-length/
29,0.0642,Solid Enameled,0.011396825,0.000396825,630,7.18,http://www.remingtonindustries.com/magnet-wire/magnet-wire-29-awg-4-oz-630-length/,,,
28,0.081,Solid Enameled,0.014885,0.000503018,2000,29.77,http://www.mcmaster.com/#magnet-wire/=135z5j6,,,http://www.remingtonindustries.com/magnet-wire/magnet-wire-200c-28-awg-4-oz-497-length/
27,0.102,Solid Enameled,0.01775,0.000625,400,7.1,http://www.remingtonindustries.com/magnet-wire/magnet-wire-27-awg-4-oz-400-length/,,,
26,0.129,Solid Enameled,0.01886,0.000796178,1500,28.29,http://www.mcmaster.com/#magnet-wire/=135z5j7,,,http://www.remingtonindustries.com/magnet-wire/magnet-wire-200c-26-awg-4-oz-314-length/
25,0.162,Solid Enameled,0.028458498,0.000988142,253,7.2,http://www.remingtonindustries.com/magnet-wire/magnet-wire-25-awg-4-oz-253-length/,,,
24,0.205,Solid Enameled,0.034721519,0.001269036,790,27.43,http://www.mcmaster.com/#magnet-wire/=135z5j8,,,http://www.remingtonindustries.com/magnet-wire/magnet-wire-200c-24-awg-4-oz-197-length/
23,0.258,Solid Enameled,0.046772152,0.001582278,158,7.39,http://www.remingtonindustries.com/magnet-wire/magnet-wire-23-awg-4-oz-158-length/,,,
22,0.326,Solid Enameled,0.053026667,0.002,750,39.77,http://www.mcmaster.com/#magnet-wire/=135z5j9,,,http://www.remingtonindustries.com/magnet-wire/magnet-wire-200c-22-awg-4-oz-125-length/
21,0.41,Solid Enameled,0.0715,0.0025,100,7.15,http://www.remingtonindustries.com/magnet-wire/magnet-wire-21-awg-4-oz-100-length/,,,
20,0.518,Solid Enameled,0.1046,0.003205128,500,52.3,http://www.mcmaster.com/#magnet-wire/=135z5j10,,,http://www.remingtonindustries.com/magnet-wire/magnet-wire-200c-20-awg-4-oz-78-length/
19,0.653,Solid Enameled,0.114444444,0.003968254,63,7.21,http://www.remingtonindustries.com/magnet-wire/magnet-wire-19-awg-4-oz-63-length/,,,
18,0.823,Solid Enameled,0.129,0.005,300,38.7,http://www.mcmaster.com/#magnet-wire/=135z5j11,,,http://www.remingtonindustries.com/magnet-wire/magnet-wire-200c-18-awg-4-oz-50-length/
17,1.04,Solid Enameled,0.17225,0.00625,40,6.89,http://www.remingtonindustries.com/magnet-wire/magnet-wire-17-awg-4-oz-40-length/,,,
16,1.31,Solid Enameled,0.20416,0.008064516,125,25.52,http://www.mcmaster.com/#magnet-wire/=135z5j12,,,http://www.remingtonindustries.com/magnet-wire/magnet-wire-200c-16-awg-4-oz-31-length/
15,1.65,Solid Enameled,0.2724,0.01,25,6.81,http://www.remingtonindustries.com/magnet-wire/magnet-wire-15-awg-4-oz-25-length/,,,
14,2.08,Solid Enameled,0.31625,0.0125,80,25.3,http://www.mcmaster.com/#magnet-wire/=135z5j13,,,http://www.remingtonindustries.com/magnet-wire/magnet-wire-14-awg-4-oz-20-length/
13,2.62,Solid Enameled,0.258809524,0.015873016,126,32.61,http://www.ebay.com/itm/Magnet-Wire-13-Gauge-AWG-Enameled-Copper-126-Feet-Coil-Winding-and-Crafts-200C-/182037702408?_trksid=p2141725.m3641.l6368,,,
12,3.31,Solid Enameled,0.5528,0.021782178,50,27.64,http://www.mcmaster.com/#magnet-wire/=135z5j14,,,http://www.ebay.com/itm/505-Feet-11-Lbs-Magnet-Wire-12-Gauge-AWG-HTAIH-12-Wind-Generator-200-Degree-C-/310618629895?_trksid=p2141725.m3641.l6368
